date,equity,s1_qqq_tqqq,s2_spy_spxl,s3_gld,s1_state,s2_state
2001-07-02,104933.72,47305.58,47305.58,10322.56,cash,cash
2001-07-03,104894.8,47312.95,47312.95,10268.91,cash,cash
2001-07-05,104824.61,47327.67,47327.67,10169.26,cash,cash
2001-07-06,104873.84,47335.04,47335.04,10203.75,cash,cash
2001-07-09,104903.9,47342.41,47342.41,10219.08,cash,cash
2001-07-10,104907.14,47349.78,47349.78,10207.59,cash,cash
2001-07-11,105013.86,47357.15,47357.15,10299.56,cash,cash
2001-07-12,104955.79,47364.52,47364.52,10226.75,cash,cash
2001-07-13,104989.69,47371.89,47371.89,10245.91,cash,cash
2001-07-16,104996.78,47379.26,47379.26,10238.25,cash,cash
2001-07-17,105061.35,47386.64,47386.64,10288.07,cash,cash
2001-07-18,105164.24,47394.02,47394.02,10376.21,cash,cash
2001-07-19,105129.18,47401.39,47401.39,10326.39,cash,cash
2001-07-20,105170.76,47408.77,47408.77,10353.22,cash,cash
2001-07-23,105135.7,47416.15,47416.15,10303.4,cash,cash
2001-07-24,105184.95,47423.53,47423.53,10337.89,cash,cash
2001-07-25,105130.73,47430.91,47430.91,10268.91,cash,cash
2001-07-26,105095.67,47438.29,47438.29,10219.08,cash,cash
2001-07-27,105156.43,47445.68,47445.68,10265.07,cash,cash
2001-07-30,105071.56,47453.06,47453.06,10165.43,cash,cash
2001-07-31,105147.65,47460.45,47460.45,10226.75,cash,cash
2001-08-01,105189.25,47467.84,47467.84,10253.58,cash,cash
2001-08-02,105211.69,47475.22,47475.22,10261.24,cash,cash
2001-08-03,105253.29,47482.61,47482.61,10288.07,cash,cash
2001-08-06,105241.25,47490.0,47490.0,10261.24,cash,cash
2001-08-07,105252.2,47497.4,47497.4,10257.41,cash,cash
2001-08-08,105293.81,47504.79,47504.79,10284.23,cash,cash
2001-08-09,105507.89,47512.18,47512.18,10483.52,cash,cash
2001-08-10,105549.5,47519.58,47519.58,10510.35,cash,cash
2001-08-13,105633.28,47526.97,47526.97,10579.33,cash,cash
2001-08-14,105663.4,47534.37,47534.37,10594.66,cash,cash
2001-08-15,105662.87,47541.77,47541.77,10579.33,cash,cash
2001-08-16,105650.84,47549.17,47549.17,10552.5,cash,cash
2001-08-17,105815.11,47556.57,47556.57,10701.97,cash,cash
2001-08-20,105711.11,47563.97,47563.97,10583.16,cash,cash
2001-08-21,105683.76,47571.38,47571.38,10541.01,cash,cash
2001-08-22,105679.41,47578.78,47578.78,10521.84,cash,cash
2001-08-23,105732.54,47586.19,47586.19,10560.17,cash,cash
2001-08-24,105643.88,47593.59,47593.59,10456.69,cash,cash
2001-08-27,105658.7,47601.0,47601.0,10456.69,cash,cash
2001-08-28,105650.52,47608.41,47608.41,10433.7,cash,cash
2001-08-29,105722.83,47615.82,47615.82,10491.18,cash,cash
