GLD_delta,GLD_pre,QQQ->TQQQ_delta,QQQ->TQQQ_pre,XLE->XLE_delta,XLE->XLE_pre,XLV->XLV_delta,XLV->XLV_pre,date,total_equity
11519.62,352295.99,-18526.6,5202899.05,30642.19,937107.34,-23635.21,784009.84,2017-10-02,7276312.21
33066.43,364839.85,-202522.84,5872687.3,86693.98,971736.71,82762.43,748861.69,2017-11-01,7958125.56
12283.28,399483.32,-42357.94,5910031.96,21460.17,1073838.98,8614.48,851977.71,2017-12-01,8235331.96
15153.57,423822.6,-70786.44,6326196.8,5420.39,1162256.21,50212.48,867247.7,2018-01-02,8779523.3
-4774.82,449218.36,62900.05,6270420.31,-19953.08,1202172.88,-38172.15,967059.13,2018-02-01,8888870.68
-2631.71,432817.97,-143379.53,6273533.76,92950.03,1051345.42,53061.21,846028.08,2018-03-01,8603725.24
1003.43,438947.27,-5769.74,6275067.26,2669.13,1167599.74,2097.17,917399.8,2018-04-02,8799014.07
491.06,427677.99,-2823.59,6104232.59,1306.22,1137623.46,1026.31,893847.01,2018-05-01,8563381.06
8597.96,423946.55,-49438.25,6213197.43,22870.57,1127697.81,17969.73,886048.28,2018-06-01,8650890.07
17359.98,414782.25,-73609.67,6231636.46,46177.56,1103320.78,10072.12,893105.14,2018-07-02,8642844.63
3133.81,423606.82,56241.12,6024812.83,8335.94,1126794.13,-67710.88,959598.79,2018-08-01,8534812.56
13018.11,418549.76,-25803.64,6175645.8,33678.93,1114291.6,-20893.41,922870.26,2018-09-04,8631357.43
-3684.51,430192.11,113413.72,5964319.59,-60416.27,1194926.48,-49312.94,940713.82,2018-10-01,8530152.01
-29247.84,441890.21,-68605.24,5948759.14,72761.35,1024867.37,25091.73,837330.85,2018-11-01,8252847.58
10420.09,411864.01,-4614.77,6022163.22,27717.45,1095558.26,-33522.77,916096.54,2018-12-03,8445682.03
-1674.01,440131.69,-110165.66,6358187.55,-4452.88,1170750.3,116292.55,800084.0,2019-01-02,8769153.53
-10506.26,449913.3,60411.0,6201139.31,-27946.65,1196769.38,-21958.08,940318.8,2019-02-01,8788140.79
9108.0,430160.08,-18973.74,6278543.84,24227.27,1144225.81,-14361.53,932431.82,2019-03-01,8785361.55
41857.85,438006.64,-245136.64,7083205.69,111341.89,1165097.67,91936.9,910979.89,2019-04-01,9597289.89
37683.93,475402.66,-274509.52,7585993.48,100239.27,1264571.07,136586.32,935764.66,2019-05-01,10261731.87
-116822.35,533158.34,671728.53,5261059.22,-310747.46,1418201.18,-244158.72,1114300.92,2019-06-03,8326719.65
64280.6,434671.94,-382032.36,7492106.0,170986.39,1156227.35,146765.36,896045.44,2019-07-01,9979050.73
-16613.9,521069.63,28695.26,7159798.97,-44192.97,1386045.22,32111.61,1022200.88,2019-08-01,10089114.71
-61279.8,538995.85,280251.49,6527202.22,-163004.26,1433728.95,-55967.43,1054393.97,2019-09-03,9554320.99
22303.74,457656.89,-131491.39,6970930.33,59327.94,1217367.33,49859.71,953258.0,2019-10-01,9599212.56
54958.71,490032.14,-327638.28,8093757.84,146190.17,1303485.48,126489.4,1012541.47,2019-11-01,10899816.93
39139.37,526755.67,-146289.87,8210294.24,104110.73,1401170.09,3039.77,1179680.87,2019-12-02,11317900.87
65598.83,591193.78,-380268.91,9739563.63,174492.88,1572575.47,140177.2,1232519.36,2020-01-02,13135852.25
18728.87,676913.87,-177836.34,10090745.4,49818.79,1800590.9,109288.68,1344604.65,2020-02-03,13912854.82
-58242.23,699581.4,281754.65,8857328.63,-154924.32,1860886.53,-68588.11,1408986.99,2020-03-02,12826783.56
42167.0,642413.81,-281925.43,10037202.01,112164.23,1708820.73,127594.19,1303179.71,2020-04-01,13691616.26
-30420.9,731899.11,174920.15,9821144.42,-80919.58,1946851.64,-63579.67,1529669.14,2020-05-01,14029564.32
-5931.77,718512.48,34107.69,10120167.46,-15778.51,1911243.21,-12397.4,1501691.09,2020-06-01,14251614.24
95944.39,725468.64,-551680.25,12256816.0,255212.08,1929746.59,200523.78,1516229.47,2020-07-01,16428260.7
64492.42,915178.94,-370831.43,14331148.42,171549.84,2434375.99,134789.16,1912724.0,2020-08-03,19593427.35
260936.48,976557.78,-1501822.18,19136115.4,694091.04,2597643.7,546794.66,2039568.35,2020-09-01,24749885.23
-180569.79,1195029.58,1084791.41,13371260.61,-480315.65,3178778.69,-423905.97,2544126.93,2020-10-01,20289195.82
-18376.32,1009975.05,82161.11,14048120.86,-48881.0,2686533.63,-14903.8,2087345.15,2020-11-02,19831974.69
38282.69,948514.83,13502.39,14048362.26,101831.96,2523049.44,-153617.05,2216023.86,2020-12-01,19735950.38
-54079.34,1057249.92,215070.38,14080110.38,-143851.05,2812284.79,-17139.99,2113766.5,2021-01-04,20063411.6
