date,equity,QQQ->TQQQ_eq,QQQ->TQQQ_state,XLE->XLE_eq,XLE->XLE_state,XLV->XLV_eq,XLV->XLV_state,safety_gld,vix,vix_sma
2000-06-30,101963.58,72431.95,cash,13520.63,cash,10623.35,cash,5387.65,19.54,21.5
2000-07-03,101937.76,72630.65,cash,13557.72,cash,10652.5,cash,5096.89,19.83,21.36
2000-07-05,101901.52,72653.26,cash,13561.94,cash,10655.81,cash,5030.5,21.16,21.26
2000-07-06,101905.09,72664.57,cash,13564.05,cash,10657.47,cash,5018.99,20.94,21.19
2000-07-07,101922.82,72675.88,cash,13566.16,cash,10659.13,cash,5021.65,19.22,21.01
2000-07-10,101943.22,72687.19,cash,13568.28,cash,10660.79,cash,5026.96,20.33,20.92
2000-07-11,101932.63,72698.51,cash,13570.39,cash,10662.45,cash,5001.29,20.11,20.81
2000-07-12,101916.74,72709.82,cash,13572.5,cash,10664.11,cash,4970.31,20.03,20.73
2000-07-13,101922.98,72721.14,cash,13574.61,cash,10665.77,cash,4961.45,20.03,20.65
2000-07-14,101957.54,72732.46,cash,13576.73,cash,10667.43,cash,4980.93,19.32,20.59
2000-07-17,102011.58,72743.78,cash,13578.84,cash,10669.09,cash,5019.88,19.45,20.53
2000-07-18,102010.75,72755.1,cash,13580.95,cash,10670.75,cash,5003.94,19.75,20.49
2000-07-19,101963.88,72766.43,cash,13583.07,cash,10672.41,cash,4941.98,19.65,20.43
2000-07-20,101998.46,72777.75,cash,13585.18,cash,10674.07,cash,4961.45,18.94,20.34
2000-07-21,102015.33,72789.08,cash,13587.3,cash,10675.73,cash,4963.23,18.94,20.19
2000-07-24,102010.97,72800.41,cash,13589.41,cash,10677.39,cash,4943.75,19.92,20.07
2000-07-25,102024.3,72811.74,cash,13591.53,cash,10679.06,cash,4941.98,19.39,19.92
2000-07-26,102050.04,72823.08,cash,13593.64,cash,10680.72,cash,4952.6,19.67,19.81
2000-07-27,102043.02,72834.41,cash,13595.76,cash,10682.38,cash,4930.47,19.6,19.78
2000-07-28,102056.37,72845.75,cash,13597.87,cash,10684.04,cash,4928.7,20.84,19.83
2000-07-31,102051.12,72857.09,cash,13599.99,cash,10685.71,cash,4908.34,20.74,19.89
2000-08-01,102068.01,72723.46,cash,13575.05,cash,10666.11,cash,5103.4,20.55,19.93
2000-08-02,102086.79,72734.78,cash,13577.16,cash,10667.77,cash,5107.08,20,19.87
2000-08-03,102036.56,72746.1,cash,13579.27,cash,10669.43,cash,5041.76,19.99,19.82
2000-08-04,102037.86,72757.42,cash,13581.39,cash,10671.09,cash,5027.96,18.62,19.79
2000-08-07,102062.16,72768.75,cash,13583.5,cash,10672.75,cash,5037.16,19.03,19.73
2000-08-08,102068.06,72780.08,cash,13585.61,cash,10674.41,cash,5027.96,18.79,19.66
2000-08-09,102075.8,72791.4,cash,13587.73,cash,10676.07,cash,5020.6,19.18,19.62
2000-08-10,102089.07,72802.73,cash,13589.84,cash,10677.73,cash,5018.76,19.19,19.58
2000-08-11,102148.34,72814.06,cash,13591.96,cash,10679.4,cash,5062.92,18.55,19.54
2000-08-14,102156.09,72825.4,cash,13594.07,cash,10681.06,cash,5055.56,17.88,19.46
2000-08-15,102169.36,72836.73,cash,13596.19,cash,10682.72,cash,5053.72,17.98,19.37
2000-08-16,102231.4,72848.07,cash,13598.31,cash,10684.38,cash,5100.64,18.02,19.29
2000-08-17,102253.88,72859.41,cash,13600.42,cash,10686.05,cash,5108.0,17.48,19.22
2000-08-18,102251.52,72870.75,cash,13602.54,cash,10687.71,cash,5090.52,17.05,19.12
2000-08-21,102240.88,72882.09,cash,13604.66,cash,10689.37,cash,5064.76,17.35,19.0
2000-08-22,102228.41,72893.44,cash,13606.77,cash,10691.04,cash,5037.16,17.47,18.9
2000-08-23,102197.53,72904.78,cash,13608.89,cash,10692.7,cash,4991.16,17.38,18.78
2000-08-24,102243.94,72916.13,cash,13611.01,cash,10694.37,cash,5022.44,17.04,18.66
2000-08-25,102283.0,72927.48,cash,13613.13,cash,10696.03,cash,5046.36,16.53,18.44
2000-08-28,102295.37,72938.83,cash,13615.25,cash,10697.7,cash,5043.6,16.54,18.23
2000-08-29,102298.55,72950.18,cash,13617.37,cash,10699.36,cash,5031.64,16.89,18.05
2000-08-30,102328.41,72961.54,cash,13619.49,cash,10701.03,cash,5046.36,17.69,17.93
2000-08-31,102407.95,72972.89,cash,13621.61,cash,10702.69,cash,5110.76,16.84,17.77
2000-09-01,102406.54,72964.66,cash,13620.07,cash,10701.48,cash,5120.33,17.53,17.72
2000-09-05,102412.78,72987.37,cash,13624.31,cash,10704.81,cash,5096.28,19.82,17.76
2000-09-06,102407.58,72998.73,cash,13626.43,cash,10706.48,cash,5075.94,20.79,17.86
2000-09-07,102410.71,73010.1,cash,13628.55,cash,10708.15,cash,5063.92,19.42,17.87
2000-09-08,102411.99,73021.46,cash,13630.67,cash,10709.81,cash,5050.05,18.46,17.84
2000-09-11,102434.55,73032.83,cash,13632.79,cash,10711.48,cash,5057.44,18.4,17.83
2000-09-12,102442.3,73044.19,cash,13634.92,cash,10713.15,cash,5050.05,18.59,17.86
2000-09-13,102452.84,73055.56,cash,13637.04,cash,10714.82,cash,5045.42,18.32,17.88
2000-09-14,102461.53,73066.93,cash,13639.16,cash,10716.48,cash,5038.95,18.26,17.89
2000-09-15,102478.54,73078.31,cash,13641.28,cash,10718.15,cash,5040.8,18.52,17.94
